Ma tram,ten tram,TAB,Yeu To,tinh
91498,Bach Ma 1 (Loc Tri),hanquoc_mua,Mua,Thua Thien Hue
91498,Bach Ma 1 (Loc Tri),hanquoc_nguon,Nguon dataloger,Thua Thien Hue
91499,Huong Nguyen,hanquoc_mua,Mua,Thua Thien Hue
91499,Huong Nguyen,hanquoc_nguon,Nguon dataloger,Thua Thien Hue
91500,Hong Trung,hanquoc_mua,Mua,Thua Thien Hue
91500,Hong Trung,hanquoc_nguon,Nguon dataloger,Thua Thien Hue
91501,Phong My,hanquoc_mua,Mua,Thua Thien Hue
91501,Phong My,hanquoc_nguon,Nguon dataloger,Thua Thien Hue
91502,Duong Hoa,hanquoc_mua,Mua,Thua Thien Hue
91502,Duong Hoa,hanquoc_nguon,Nguon dataloger,Thua Thien Hue
91517,Loc Tien,hanquoc_mua,Mua,Thua Thien Hue
91517,Loc Tien,hanquoc_nguon,Nguon dataloger,Thua Thien Hue
91518,Huong Phu,hanquoc_mua,Mua,Thua Thien Hue
91518,Huong Phu,hanquoc_nguon,Nguon dataloger,Thua Thien Hue
91519,Huong Son (Hue),hanquoc_mua,Mua,Thua Thien Hue
91519,Huong Son (Hue),hanquoc_nguon,Nguon dataloger,Thua Thien Hue
14696,Ho chua nuoc Khe Ngang,vrain_mua,Mua,Thua Thien Hue
553800,Kim Long,mua_oday_thuyvan,Mua,Thua Thien Hue
553800,Kim Long,mucnuoc_oday,Muc Nuoc,Thua Thien Hue
553800,Kim Long,nguondataloger_oday,Nguon dataloger,Thua Thien Hue
553900,Binh Dien,mua_oday_thuyvan,Mua,Thua Thien Hue
553900,Binh Dien,mucnuoc_oday,Muc Nuoc,Thua Thien Hue
553900,Binh Dien,nguondataloger_oday,Nguon dataloger,Thua Thien Hue
553900,Binh Dien,nguonsieuam_oday,Nguon Sieu Am,Thua Thien Hue
553900,Binh Dien,nhietdo_sieuam_oday,Nhiet Do,Thua Thien Hue
554000,Phu Oc,mua_oday_thuyvan,Mua,Thua Thien Hue
554000,Phu Oc,mucnuoc_oday,Muc Nuoc,Thua Thien Hue
554000,Phu Oc,nguondataloger_oday,Nguon dataloger,Thua Thien Hue
554100,Phong Dien,mua_oday_thuyvan,Mua,Thua Thien Hue
554100,Phong Dien,mucnuoc_oday,Muc Nuoc,Thua Thien Hue
554100,Phong Dien,nguondataloger_oday,Nguon dataloger,Thua Thien Hue
554200,Cau Truoi,mua_oday_thuyvan,Mua,Thua Thien Hue
554200,Cau Truoi,mucnuoc_oday,Muc Nuoc,Thua Thien Hue
554200,Cau Truoi,nguondataloger_oday,Nguon dataloger,Thua Thien Hue
554300,Thuong Nhat,mua_oday_thuyvan,Mua,Thua Thien Hue
554300,Thuong Nhat,mucnuoc_oday,Muc Nuoc,Thua Thien Hue
554300,Thuong Nhat,nguondataloger_oday,Nguon dataloger,Thua Thien Hue
554300,Thuong Nhat,nhietdo_sieuam_oday,Nhiet Do,Thua Thien Hue
554400,Co Bi,mua_oday_thuyvan,Mua,Thua Thien Hue
554400,Co Bi,mucnuoc_oday,Muc Nuoc,Thua Thien Hue
554400,Co Bi,nguondataloger_oday,Nguon dataloger,Thua Thien Hue
557000,Nam Dong,doam_oday,Do Am,Thua Thien Hue
557000,Nam Dong,huonggioavg10_oday,Huong Gio AVG10,Thua Thien Hue
557000,Nam Dong,huonggiomax60_oday,Huong Gio Max 60,Thua Thien Hue
557000,Nam Dong,huonggio_oday,Huong Gio,Thua Thien Hue
