Ma tram,ten tram,TAB,Yeu To,tinh
9003181,Cam Ly,hanquoc_mua,Mua,Quang Binh
9003181,Cam Ly,hanquoc_nguon,Nguon dataloger,Quang Binh
91401,Hoa Thanh,hanquoc_mua,Mua,Quang Binh
91401,Hoa Thanh,hanquoc_nguon,Nguon dataloger,Quang Binh
91402,Thuong Hoa,hanquoc_mua,Mua,Quang Binh
91402,Thuong Hoa,hanquoc_nguon,Nguon dataloger,Quang Binh
91403,Quang Hop,hanquoc_mua,Mua,Quang Binh
91403,Quang Hop,hanquoc_nguon,Nguon dataloger,Quang Binh
91404,Sen Thuy,hanquoc_mua,Mua,Quang Binh
91404,Sen Thuy,hanquoc_nguon,Nguon dataloger,Quang Binh
91405,Huong Hoa QB,hanquoc_mua,Mua,Quang Binh
91405,Huong Hoa QB,hanquoc_nguon,Nguon dataloger,Quang Binh
91406,Phuc Trach,hanquoc_mua,Mua,Quang Binh
91406,Phuc Trach,hanquoc_nguon,Nguon dataloger,Quang Binh
191474,Truong Xuan,vrain_mua,Mua,Quang Binh
341801,Trooc,vrain_mua,Mua,Quang Binh
361415,Son Trach,vrain_mua,Mua,Quang Binh
53990,Tan Hoa,vrain_mua,Mua,Quang Binh
53997,Cao Quang,vrain_mua,Mua,Quang Binh
555300,Dong Tam,mua_oday_thuyvan,Mua,Quang Binh
555300,Dong Tam,mucnuoc_oday,Muc Nuoc,Quang Binh
555300,Dong Tam,nguondataloger_oday,Nguon dataloger,Quang Binh
555400,Mai Hoa,mua_oday_thuyvan,Mua,Quang Binh
555400,Mai Hoa,mucnuoc_oday,Muc Nuoc,Quang Binh
555400,Mai Hoa,nguondataloger_oday,Nguon dataloger,Quang Binh
555500,Kien Giang,mua_oday_thuyvan,Mua,Quang Binh
555500,Kien Giang,mucnuoc_oday,Muc Nuoc,Quang Binh
555500,Kien Giang,nguondataloger_oday,Nguon dataloger,Quang Binh
555600,Dong Hoi meteo,doam_oday,Do Am,Quang Binh
