Ma tram,ten tram,TAB,Yeu To,tinh
91560,Tam Tra,hanquoc_mua,Mua,Quang Nam
91560,Tam Tra,hanquoc_nguon,Nguon dataloger,Quang Nam
91561,Nui Thanh 1,hanquoc_mua,Mua,Quang Nam
91561,Nui Thanh 1,hanquoc_nguon,Nguon dataloger,Quang Nam
91562,Thang Binh 1,hanquoc_mua,Mua,Quang Nam
91562,Thang Binh 1,hanquoc_nguon,Nguon dataloger,Quang Nam
91563,TrHy,hanquoc_mua,Mua,Quang Nam
91563,TrHy,hanquoc_nguon,Nguon dataloger,Quang Nam
91564,LaDee,hanquoc_mua,Mua,Quang Nam
91564,LaDee,hanquoc_nguon,Nguon dataloger,Quang Nam
91565,Tra Don,hanquoc_mua,Mua,Quang Nam
91565,Tra Don,hanquoc_nguon,Nguon dataloger,Quang Nam
14693,Binh Phu,vrain_mua,Mua,Quang Nam
148245,Tra Kot,vrain_mua,Mua,Quang Nam
226650,Van Phong Thuong Truc QN,vrain_mua,Mua,Quang Nam
226653,Phuoc Ninh,vrain_mua,Mua,Quang Nam
228925,Phuoc Chanh,vrain_mua,Mua,Quang Nam
228926,Tien Phong,vrain_mua,Mua,Quang Nam
228927,Dai Dong,vrain_mua,Mua,Quang Nam
228929,Duy Trung,vrain_mua,Mua,Quang Nam
228930,Que Luu,vrain_mua,Mua,Quang Nam
266249,Zuoih,vrain_mua,Mua,Quang Nam
354128,Que Phuoc,vrain_mua,Mua,Quang Nam
354578,Thang Phuoc,vrain_mua,Mua,Quang Nam
355827,Dien Hong,vrain_mua,Mua,Quang Nam
36614,Khanh Hiep,vrain_mua,Mua,Quang Nam
36623,Tien Ha,vrain_mua,Mua,Quang Nam
430020,Dap Ha Thanh,vrain_mua,Mua,Quang Nam
436,Binh Lam,vrain_mua,Mua,Quang Nam
437,Que Loc,vrain_mua,Mua,Quang Nam
442,Tam Tra,vrain_mua,Mua,Quang Nam
445,Dai Hiep,vrain_mua,Mua,Quang Nam
492430,Tra Leng,vrain_mua,Mua,Quang Nam
552600,Hiep Duc,mua_oday_thuyvan,Mua,Quang Nam
552600,Hiep Duc,mucnuoc_oday,Muc Nuoc,Quang Nam
552600,Hiep Duc,nguondataloger_oday,Nguon dataloger,Quang Nam
552600,Hiep Duc,nguonsieuam_oday,Nguon Sieu Am,Quang Nam
552600,Hiep Duc,nhietdo_sieuam_oday,Nhiet Do,Quang Nam
552700,Cau Lau,mua_oday_thuyvan,Mua,Quang Nam
552700,Cau Lau,mucnuoc_oday,Muc Nuoc,Quang Nam
552700,Cau Lau,nguondataloger_oday,Nguon dataloger,Quang Nam
552800,Hien Vuong,mua_oday_thuyvan,Mua,Quang Nam
552800,Hien Vuong,mucnuoc_oday,Muc Nuoc,Quang Nam
552800,Hien Vuong,nguondataloger_oday,Nguon dataloger,Quang Nam
552900,Kham Duc,mua_oday_domua,Mua,Quang Nam
552900,Kham Duc,nguondataloger_oday,Nguon dataloger,Quang Nam
553000,Thanh My,mua_oday_thuyvan,Mua,Quang Nam
553000,Thanh My,mucnuoc_oday,Muc Nuoc,Quang Nam
553000,Thanh My,nguondataloger_oday,Nguon dataloger,Quang Nam
553000,Thanh My,nguonsieuam_oday,Nguon Sieu Am,Quang Nam
553000,Thanh My,nhietdo_sieuam_oday,Nhiet Do,Quang Nam
553100,Hoi Khach,mua_oday_thuyvan,Mua,Quang Nam
553100,Hoi Khach,mucnuoc_oday,Muc Nuoc,Quang Nam
553100,Hoi Khach,nguondataloger_oday,Nguon dataloger,Quang Nam
553200,Giao Thuy,mua_oday_thuyvan,Mua,Quang Nam
553200,Giao Thuy,mucnuoc_oday,Muc Nuoc,Quang Nam
553200,Giao Thuy,nguondataloger_oday,Nguon dataloger,Quang Nam
553300,Ai Nghia,mua_oday_thuyvan,Mua,Quang Nam
553300,Ai Nghia,mucnuoc_oday,Muc Nuoc,Quang Nam
553300,Ai Nghia,nguondataloger_oday,Nguon dataloger,Quang Nam
553500,Ky Phu,mua_oday_thuyvan,Mua,Quang Nam
553500,Ky Phu,mucnuoc_oday,Muc Nuoc,Quang Nam
553500,Ky Phu,nguondataloger_oday,Nguon dataloger,Quang Nam
553600,Nong Son,mua_oday_thuyvan,Mua,Quang Nam
553600,Nong Son,mucnuoc_oday,Muc Nuoc,Quang Nam
553600,Nong Son,nguondataloger_oday,Nguon dataloger,Quang Nam
553700,Hoi An,mua_oday_thuyvan,Mua,Quang Nam
