Ma tram,ten tram,TAB,Yeu To,tinh
551900,Son Giang,mua_oday_thuyvan,Mua,Quang Ngai
551900,Son Giang,mucnuoc_oday,Muc Nuoc,Quang Ngai
551900,Son Giang,nguondataloger_oday,Nguon dataloger,Quang Ngai
552000,Tra Khuc,mua_oday_thuyvan,Mua,Quang Ngai
552000,Tra Khuc,mucnuoc_oday,Muc Nuoc,Quang Ngai
552000,Tra Khuc,nguondataloger_oday,Nguon dataloger,Quang Ngai
552100,An Chi,mua_oday_thuyvan,Mua,Quang Ngai
552100,An Chi,mucnuoc_oday,Muc Nuoc,Quang Ngai
552100,An Chi,nguondataloger_oday,Nguon dataloger,Quang Ngai
552200,Song Ve,mua_oday_thuyvan,Mua,Quang Ngai
552200,Song Ve,mucnuoc_oday,Muc Nuoc,Quang Ngai
552200,Song Ve,nguondataloger_oday,Nguon dataloger,Quang Ngai
552300,Binh Dong,mua_oday_thuyvan,Mua,Quang Ngai
552300,Binh Dong,mucnuoc_oday,Muc Nuoc,Quang Ngai
552300,Binh Dong,nguondataloger_oday,Nguon dataloger,Quang Ngai
552400,Chau O,mua_oday_thuyvan,Mua,Quang Ngai
552400,Chau O,mucnuoc_oday,Muc Nuoc,Quang Ngai
552400,Chau O,nguondataloger_oday,Nguon dataloger,Quang Ngai
552500,Tra Cau,mua_oday_thuyvan,Mua,Quang Ngai
552500,Tra Cau,mucnuoc_oday,Muc Nuoc,Quang Ngai
552500,Tra Cau,nguondataloger_oday,Nguon dataloger,Quang Ngai
556200,Dung Quat Meteo,doam_oday,Do Am,Quang Ngai
556200,Dung Quat Meteo,huonggioavg10_oday,Huong Gio AVG10,Quang Ngai
556200,Dung Quat Meteo,huonggiomax60_oday,Huong Gio Max 60,Quang Ngai
556200,Dung Quat Meteo,huonggio_oday,Huong Gio,Quang Ngai
556200,Dung Quat Meteo,khiap_oday,Khi Ap,Quang Ngai
556200,Dung Quat Meteo,mua_oday_khituong,Mua,Quang Ngai
556200,Dung Quat Meteo,nguondataloger_oday,Nguon dataloger,Quang Ngai
556200,Dung Quat Meteo,nhietdo_oday,Nhiet Do,Quang Ngai
556200,Dung Quat Meteo,tocdogio_avg10_oday,Toc Do Gio AVG10,Quang Ngai
556200,Dung Quat Meteo,tocdogio_max60_oday,Toc Do Gio max 60,Quang Ngai
556200,Dung Quat Meteo,tocdogio_oday,Toc Do Gio,Quang Ngai
556300,Ba To,doam_oday,Do Am,Quang Ngai
556300,Ba To,huonggioavg10_oday,Huong Gio AVG10,Quang Ngai
556300,Ba To,huonggiomax60_oday,Huong Gio Max 60,Quang Ngai
556300,Ba To,huonggio_oday,Huong Gio,Quang Ngai
556300,Ba To,khiap_oday,Khi Ap,Quang Ngai
556300,Ba To,mua_oday_khituong,Mua,Quang Ngai
556300,Ba To,nguondataloger_oday,Nguon dataloger,Quang Ngai
556300,Ba To,nhietdo_oday,Nhiet Do,Quang Ngai
