Ma tram,ten tram,TAB,Yeu To,tinh
91456,Ba Long,hanquoc_mua,Mua,Quang Tri
91456,Ba Long,hanquoc_nguon,Nguon dataloger,Quang Tri
91457,Ta Rut 1,hanquoc_mua,Mua,Quang Tri
91457,Ta Rut 1,hanquoc_nguon,Nguon dataloger,Quang Tri
91458,Vinh O,hanquoc_mua,Mua,Quang Tri
91458,Vinh O,hanquoc_nguon,Nguon dataloger,Quang Tri
91459,Huong Son QT,hanquoc_mua,Mua,Quang Tri
91459,Huong Son QT,hanquoc_nguon,Nguon dataloger,Quang Tri
91460,Huong Hiep,hanquoc_mua,Mua,Quang Tri
91460,Huong Hiep,hanquoc_nguon,Nguon dataloger,Quang Tri
312213,Cua Tung,vrain_mua,Mua,Quang Tri
317420,Trieu Ai,vrain_mua,Mua,Quang Tri
319225,Hai An,vrain_mua,Mua,Quang Tri
341347,Hai Lam,vrain_mua,Mua,Quang Tri
344845,Linh Thuong,vrain_mua,Mua,Quang Tri
345334,Huong Loc,vrain_mua,Mua,Quang Tri
346097,Huong Linh,vrain_mua,Mua,Quang Tri
352410,Lao Bao,vrain_mua,Mua,Quang Tri
356218,Thuy dien Dakrong 2,vrain_mua,Mua,Quang Tri
356642,A Bung,vrain_mua,Mua,Quang Tri
40664,Ba Nang,vrain_mua,Mua,Quang Tri
40665,Vinh Tu,vrain_mua,Mua,Quang Tri
40667,Thanh,vrain_mua,Mua,Quang Tri
40723,Hai Thai,vrain_mua,Mua,Quang Tri
40728,Cam Chinh,vrain_mua,Mua,Quang Tri
40730,A Doi,vrain_mua,Mua,Quang Tri
40731,Ta Long,vrain_mua,Mua,Quang Tri
40742,Vinh Khe,vrain_mua,Mua,Quang Tri
40824,Huong Phung,vrain_mua,Mua,Quang Tri
41039,Tan Long,vrain_mua,Mua,Quang Tri
41040,Thuy dien Quang Tri,vrain_mua,Mua,Quang Tri
554500,Dakrong,mua_oday_thuyvan,Mua,Quang Tri
554500,Dakrong,mucnuoc_oday,Muc Nuoc,Quang Tri
554500,Dakrong,nguondataloger_oday,Nguon dataloger,Quang Tri
554500,Dakrong,nguonsieuam_oday,Nguon Sieu Am,Quang Tri
554500,Dakrong,nhietdo_sieuam_oday,Nhiet Do,Quang Tri
554600,Thach Han,mua_oday_thuyvan,Mua,Quang Tri
554600,Thach Han,mucnuoc_oday,Muc Nuoc,Quang Tri
554600,Thach Han,nguondataloger_oday,Nguon dataloger,Quang Tri
554700,Dong Ha idro,mua_oday_thuyvan,Mua,Quang Tri
554700,Dong Ha idro,mucnuoc_oday,Muc Nuoc,Quang Tri
554700,Dong Ha idro,nguondataloger_oday,Nguon dataloger,Quang Tri
554800,Cua Viet,mua_oday_thuyvan,Mua,Quang Tri
554800,Cua Viet,mucnuoc_oday,Muc Nuoc,Quang Tri
554800,Cua Viet,nguondataloger_oday,Nguon dataloger,Quang Tri
554900,Gia Vong,mua_oday_thuyvan,Mua,Quang Tri
554900,Gia Vong,mucnuoc_oday,Muc Nuoc,Quang Tri
554900,Gia Vong,nguondataloger_oday,Nguon dataloger,Quang Tri
